Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longtitude
0101100R01,24.661,7.6,0.234999999,13.716201,100.5566844
0101100R01,24.663,7.595,0.215000004,13.7162221,100.5566427
0101100R01,24.668,7.59,0.276666671,13.7162429,100.5566018
0101100R01,24.673,7.585,0.233333334,13.7162638,100.5565613
0101100R01,24.678,7.58,0.234999999,13.7162847,100.5565208
0101100R01,24.683,7.575,0.24333334,13.7163055,100.5564805
0101100R01,24.688,7.57,0.233333334,13.7163263,100.5564405
0101100R01,24.693,7.565,0.239999995,13.7163472,100.5564003
0101100R01,24.698,7.56,0.270000011,13.7163681,100.5563598
0101100R01,24.703,7.555,0.25333333,13.7163887,100.5563187
0101100R01,24.708,7.55,0.245000005,13.7164093,100.5562774
0101100R01,24.713,7.545,0.355000019,13.7164301,100.556236
0101100R01,24.718,7.54,0.370000005,13.7164514,100.5561948
0101100R01,24.723,7.535,0.305000007,13.7164727,100.5561533
0101100R01,24.728,7.53,0.314999998,13.7164939,100.5561122
0101100R01,24.733,7.525,0.236666679,13.716515,100.5560708
0101100R01,24.738,7.52,0.540000021,13.716536,100.5560293
0101100R01,24.743,7.515,0.529999971,13.7165572,100.5559878
0101100R01,24.748,7.51,0.330000013,13.7165787,100.5559481
0101100R01,24.753,7.505,0.303333342,13.7166001,100.5559086
0101100R01,24.758,7.5,0.295000017,13.7166216,100.5558688
0101100R01,24.763,7.495,0.88499999,13.7166428,100.555828
0101100R01,24.768,7.49,0.733333349,13.7166639,100.5557876
0101100R01,24.773,7.485,0.360000014,13.7166851,100.5557468
0101100R01,24.778,7.48,0.330000013,13.7167066,100.5557057
0101100R01,24.783,7.475,0.326666683,13.716728,100.555665
0101100R01,24.788,7.47,0.330000013,13.7167495,100.5556239
0101100R01,24.793,7.465,0.50999999,13.7167714,100.5555822
0101100R01,24.798,7.46,0.386666685,13.7167932,100.5555406
0101100R01,24.803,7.455,0.306666672,13.716815,100.555499
0101100R01,24.808,7.45,0.314999998,13.716839,100.5554583
0101100R01,24.813,7.445,0.533333361,13.716863,100.5554177
0101100R01,24.818,7.44,1.200000048,13.7168872,100.555377
0101100R01,24.823,7.435,0.329999983,13.716912,100.5553376
0101100R01,24.828,7.43,0.280000001,13.7169367,100.5552983
0101100R01,24.833,7.425,0.303333342,13.7169615,100.5552589
0101100R01,24.838,7.42,0.305000007,13.7169839,100.5552215
0101100R01,24.843,7.415,0.25,13.7170059,100.5551843
0101100R01,24.848,7.41,0.346666664,13.717028,100.555147
0101100R01,24.853,7.405,0.344999999,13.7170541,100.5551095
0101100R01,24.858,7.4,0.349999994,13.7170809,100.5550717
0101100R01,24.863,7.395,0.343333334,13.7171079,100.5550338
0101100R01,24.868,7.39,0.273333311,13.7171329,100.5549962
0101100R01,24.873,7.385,0.314999998,13.7171577,100.5549585
0101100R01,24.878,7.38,0.306666642,13.7171663,100.5549454
0101100R01,24.883,7.375,0.316666663,13.7171913,100.554908
0101100R01,24.888,7.37,0.314999998,13.7172178,100.5548704
0101100R01,24.893,7.365,0.295000017,13.717244,100.5548333
0101100R01,24.898,7.36,0.296666652,13.7172702,100.5547963
0101100R01,24.903,7.355,0.284999996,13.7172981,100.5547572
0101100R01,24.908,7.35,0.289999992,13.7173256,100.5547186
0101100R01,24.913,7.345,0.270000011,13.717353,100.5546801
0101100R01,24.918,7.34,0.284999996,13.7173805,100.5546416
0101100R01,24.923,7.335,0.275000006,13.7174076,100.5546035
0101100R01,24.928,7.33,0.296666652,13.7174347,100.5545655
0101100R01,24.933,7.325,0.299999982,13.717462,100.5545272
0101100R01,24.938,7.32,0.289999992,13.7174889,100.5544894
0101100R01,24.943,7.315,0.303333312,13.7175161,100.5544513
0101100R01,24.948,7.31,0.299999982,13.717544,100.554415
0101100R01,24.953,7.305,0.319999993,13.7175727,100.5543815
0101100R01,24.958,7.3,0.335000008,13.7176017,100.5543476
0101100R01,24.963,7.295,0.306666642,13.7176305,100.554314
0101100R01,24.968,7.29,0.330000013,13.7176595,100.5542802
0101100R01,24.973,7.285,0.36500001,13.7176886,100.5542463
0101100R01,24.978,7.28,0.360000014,13.7177174,100.5542125
0101100R01,24.983,7.275,0.349999994,13.7177467,100.5541784
0101100R01,24.988,7.27,0.344999999,13.7177758,100.5541444
0101100R01,24.993,7.265,0.346666664,13.717805,100.5541103
0101100R01,24.998,7.26,0.360000014,13.7178352,100.554072
0101100R01,25.003,7.255,0.349999994,13.7178656,100.5540323
0101100R01,25.008,7.25,0.366666675,13.7178962,100.5539924
0101100R01,25.013,7.245,0.336666673,13.7179257,100.5539571
0101100R01,25.018,7.24,0.330000013,13.7179543,100.5539263
0101100R01,25.023,7.235,0.404999971,13.7179829,100.5538955
0101100R01,25.028,7.23,0.360000014,13.7180125,100.5538634
0101100R01,25.033,7.225,0.314999998,13.7180433,100.5538293
0101100R01,25.038,7.22,0.310000002,13.7180745,100.553795
0101100R01,25.043,7.215,0.296666682,13.718106,100.5537615
0101100R01,25.048,7.21,0.340000004,13.718139,100.5537307
0101100R01,25.053,7.205,0.324999988,13.7181722,100.5536998
0101100R01,25.058,7.2,0.313333333,13.7182056,100.5536688
0101100R01,25.063,7.195,0.303333342,13.7182405,100.5536393
0101100R01,25.068,7.19,0.324999988,13.7182757,100.5536095
0101100R01,25.073,7.185,0.330000013,13.718311,100.5535797
0101100R01,25.078,7.18,0.323333323,13.7183459,100.5535501
0101100R01,25.083,7.175,0.324999988,13.7183811,100.5535204
0101100R01,25.088,7.17,0.324999988,13.7184164,100.5534906
0101100R01,25.093,7.165,0.330000013,13.718455,100.5534669
0101100R01,25.098,7.16,0.284999996,13.7184948,100.5534445
0101100R01,25.103,7.155,0.290000021,13.7185345,100.553422
0101100R01,25.108,7.15,0.76000005,13.7185733,100.5533974
0101100R01,25.113,7.145,0.745000005,13.7186119,100.5533717
0101100R01,25.118,7.14,0.264999986,13.7186503,100.5533462
0101100R01,25.123,7.135,0.276666671,13.7186898,100.5533239
0101100R01,25.128,7.13,0.286666662,13.7187299,100.5533043
0101100R01,25.133,7.125,0.329999983,13.7187699,100.5532848
0101100R01,25.138,7.12,0.363333344,13.7188101,100.5532652
0101100R01,25.143,7.115,0.25,13.7188502,100.5532456
0101100R01,25.148,7.11,0.25,13.7188901,100.5532261
0101100R01,25.153,7.105,0.25,13.7189301,100.5532066
0101100R01,25.158,7.1,0.270000011,13.7189703,100.553187
0101100R01,25.163,7.095,0.275000006,13.7190102,100.5531675
0101100R01,25.168,7.09,0.245000005,13.7190502,100.553148
0101100R01,25.173,7.085,0.24333334,13.7190903,100.5531284
0101100R01,25.178,7.08,0.25999999,13.71913,100.5531091
0101100R01,25.183,7.075,0.275000006,13.7191701,100.5530898
0101100R01,25.188,7.07,0.263333321,13.7192132,100.553074
0101100R01,25.193,7.065,0.263333321,13.7192563,100.5530582
0101100R01,25.198,7.06,0.280000001,13.7192995,100.5530423
0101100R01,25.203,7.055,0.296666682,13.7193515,100.553024
0101100R01,25.208,7.05,0.283333331,13.7194045,100.5530054
0101100R01,25.213,7.045,0.284999996,13.7194572,100.5529868
0101100R01,25.218,7.04,0.319999993,13.7194942,100.5529866
0101100R01,25.223,7.035,0.323333323,13.7195257,100.5529928
0101100R01,25.228,7.03,0.319999993,13.7195571,100.552999
0101100R01,25.233,7.025,0.344999999,13.7195961,100.5529907
0101100R01,25.238,7.02,0.340000004,13.7196429,100.5529687
0101100R01,25.243,7.015,0.350000024,13.7196893,100.5529468
0101100R01,25.248,7.01,0.355000019,13.7197353,100.5529293
0101100R01,25.253,7.005,0.310000002,13.7197807,100.5529232
0101100R01,25.258,7,0.343333334,13.7198257,100.5529171
0101100R01,25.263,6.995,0.330000013,13.719871,100.552911
0101100R01,25.268,6.99,0.330000013,13.7199168,100.5529125
0101100R01,25.273,6.985,0.300000012,13.7199624,100.552914
0101100R01,25.278,6.98,0.310000002,13.7200079,100.5529155
0101100R01,25.283,6.975,0.319999993,13.7200522,100.5529105
0101100R01,25.288,6.97,0.306666672,13.7200957,100.5529025
0101100R01,25.293,6.965,0.289999992,13.7201392,100.5528946
0101100R01,25.298,6.96,0.284999996,13.7201826,100.5528853
0101100R01,25.303,6.955,0.303333342,13.7202257,100.5528726
0101100R01,25.308,6.95,0.275000006,13.7202689,100.5528599
0101100R01,25.313,6.945,0.280000001,13.720312,100.5528472
0101100R01,25.318,6.94,0.296666652,13.7203571,100.5528418
0101100R01,25.323,6.935,0.266666651,13.7204026,100.5528371
0101100R01,25.328,6.93,0.314999998,13.7204481,100.5528324
0101100R01,25.333,6.925,0.203333333,13.7204929,100.5528277
0101100R01,25.338,6.92,0.313333333,13.7205378,100.5528231
0101100R01,25.343,6.915,0.280000001,13.7205826,100.5528185
0101100R01,25.348,6.91,0.295000017,13.7206276,100.5528141
0101100R01,25.353,6.905,0.286666662,13.7206751,100.5528155
0101100R01,25.358,6.9,0.275000006,13.7207224,100.5528169
0101100R01,25.363,6.895,0.275000006,13.72077,100.5528184
0101100R01,25.368,6.89,0.266666651,13.7208162,100.5528161
0101100R01,25.373,6.885,0.254999995,13.7208612,100.5528112
0101100R01,25.378,6.88,0.254999995,13.7209066,100.5528063
0101100R01,25.383,6.875,0.299999982,13.7209518,100.5528014
0101100R01,25.388,6.87,0.289999992,13.7209967,100.5527968
0101100R01,25.393,6.865,0.275000006,13.7210416,100.5527921
0101100R01,25.398,6.86,0.273333311,13.7210867,100.5527875
0101100R01,25.403,6.855,0.276666641,13.7211316,100.5527846
0101100R01,25.408,6.85,0.280000001,13.7211769,100.5527826
0101100R01,25.413,6.845,0.305000007,13.7212221,100.5527805
0101100R01,25.418,6.84,0.306666672,13.7212672,100.5527787
0101100R01,25.423,6.835,0.300000012,13.7213115,100.5527775
0101100R01,25.428,6.83,0.310000002,13.7213557,100.5527764
0101100R01,25.433,6.825,0.336666673,13.7214001,100.5527752
0101100R01,25.438,6.82,0.344999999,13.7214448,100.5527714
0101100R01,25.443,6.815,0.360000014,13.7214893,100.552767
0101100R01,25.448,6.81,0.363333344,13.7215341,100.5527626
0101100R01,25.453,6.805,0.306666642,13.7215793,100.5527564
0101100R01,25.458,6.8,0.329999983,13.7216249,100.5527473
0101100R01,25.463,6.795,0.356666684,13.7216709,100.5527382
0101100R01,25.468,6.79,0.376666665,13.7217168,100.552729
0101100R01,25.473,6.785,0.370000005,13.7217617,100.5527237
0101100R01,25.478,6.78,0.310000002,13.7218069,100.5527184
0101100R01,25.483,6.775,0.330000013,13.721852,100.5527131
0101100R01,25.488,6.77,0.324999988,13.7218969,100.552708
0101100R01,25.493,6.765,0.330000013,13.721942,100.552703
0101100R01,25.498,6.76,0.306666672,13.7219869,100.552698
0101100R01,25.503,6.755,0.324999988,13.722032,100.5526931
0101100R01,25.508,6.75,0.300000012,13.722077,100.5526883
0101100R01,25.513,6.745,0.306666672,13.722122,100.5526837
0101100R01,25.518,6.74,0.303333342,13.722167,100.5526789
0101100R01,25.523,6.735,0.305000007,13.7222123,100.5526743
0101100R01,25.528,6.73,0.289999992,13.7222576,100.5526696
0101100R01,25.533,6.725,0.280000001,13.722303,100.5526649
0101100R01,25.538,6.72,0.264999986,13.7223482,100.5526598
0101100R01,25.543,6.715,0.275000006,13.722393,100.5526539
0101100R01,25.548,6.71,0.25999999,13.722438,100.5526481
0101100R01,25.553,6.705,0.25999999,13.7224828,100.5526423
0101100R01,25.558,6.7,0.270000011,13.7225274,100.5526379
0101100R01,25.563,6.695,0.266666681,13.7225722,100.5526335
0101100R01,25.568,6.69,0.25999999,13.7226167,100.5526292
0101100R01,25.573,6.685,0.254999995,13.7226615,100.5526245
0101100R01,25.578,6.68,0.283333331,13.7227064,100.5526196
0101100R01,25.583,6.675,0.25,13.722751,100.5526146
0101100R01,25.588,6.67,0.245000005,13.7227961,100.5526096
0101100R01,25.593,6.665,0.24333334,13.7228409,100.5526044
0101100R01,25.598,6.66,0.263333321,13.7228855,100.5525992
0101100R01,25.603,6.655,0.284999996,13.7229304,100.5525939
0101100R01,25.608,6.65,0.280000001,13.7229756,100.5525892
0101100R01,25.613,6.645,0.296666652,13.7230211,100.5525849
0101100R01,25.618,6.64,0.300000012,13.7230668,100.5525805
0101100R01,25.623,6.635,0.330000013,13.7231123,100.552576
0101100R01,25.628,6.63,0.350000024,13.7231572,100.552571
0101100R01,25.633,6.625,0.350000024,13.7232024,100.552566
0101100R01,25.638,6.62,0.324999988,13.7232473,100.5525611
0101100R01,25.643,6.615,0.379999995,13.7232925,100.5525558
0101100R01,25.648,6.61,0.303333342,13.7233374,100.5525505
0101100R01,25.653,6.605,0.310000002,13.7233823,100.5525453
0101100R01,25.658,6.6,0.346666694,13.7234274,100.5525404
0101100R01,25.663,6.595,0.333333343,13.7234724,100.5525363
0101100R01,25.668,6.59,0.36500001,13.7235174,100.5525322
0101100R01,25.673,6.585,0.355000019,13.7235625,100.5525281
0101100R01,25.678,6.58,0.330000013,13.7236078,100.5525232
0101100R01,25.683,6.575,0.360000014,13.7236528,100.5525183
0101100R01,25.688,6.57,0.389999986,13.7236979,100.5525133
0101100R01,25.693,6.565,0.370000005,13.7237431,100.5525087
0101100R01,25.698,6.56,0.360000014,13.7237878,100.5525044
0101100R01,25.703,6.555,0.340000004,13.7238328,100.5525001
0101100R01,25.708,6.55,0.313333333,13.7238777,100.5524957
0101100R01,25.713,6.545,0.303333342,13.7239229,100.5524914
0101100R01,25.718,6.54,0.300000012,13.7239683,100.5524871
0101100R01,25.723,6.535,0.303333342,13.7240133,100.5524828
0101100R01,25.728,6.53,0.293333322,13.7240585,100.5524786
0101100R01,25.733,6.525,0.295000017,13.7241035,100.5524746
0101100R01,25.738,6.52,0.275000006,13.724148,100.5524707
0101100R01,25.743,6.515,0.289999992,13.724193,100.5524666
0101100R01,25.748,6.51,0.289999992,13.724238,100.5524627
0101100R01,25.753,6.505,0.314999998,13.7242827,100.5524587
0101100R01,25.758,6.5,0.306666672,13.7243277,100.5524547
0101100R01,25.763,6.495,0.314999998,13.7243728,100.5524507
0101100R01,25.768,6.49,0.314999998,13.7244182,100.5524468
0101100R01,25.773,6.485,0.343333334,13.7244636,100.5524428
0101100R01,25.778,6.48,0.350000024,13.7245088,100.5524389
0101100R01,25.783,6.475,0.360000014,13.7245539,100.5524358
0101100R01,25.788,6.47,0.326666683,13.7245989,100.5524327
0101100R01,25.793,6.465,0.336666673,13.7246438,100.5524297
0101100R01,25.798,6.46,0.340000004,13.7246888,100.5524267
0101100R01,25.803,6.455,0.305000007,13.7247337,100.5524239
0101100R01,25.808,6.45,0.340000004,13.7247784,100.5524211
0101100R01,25.813,6.445,0.264999986,13.7248233,100.5524183
0101100R01,25.818,6.44,0.275000006,13.7248684,100.5524155
0101100R01,25.823,6.435,0.286666662,13.7249134,100.5524127
0101100R01,25.828,6.43,0.314999998,13.7249584,100.5524099
0101100R01,25.833,6.425,0.324999988,13.7250037,100.5524071
0101100R01,25.838,6.42,0.323333353,13.7250486,100.5524043
0101100R01,25.843,6.415,0.286666662,13.7250939,100.5524015
0101100R01,25.848,6.41,0.295000017,13.7251394,100.5523987
0101100R01,25.853,6.405,0.309999973,13.7251845,100.5523961
0101100R01,25.858,6.4,0.319999993,13.72523,100.5523935
0101100R01,25.863,6.395,0.310000002,13.725275,100.552391
0101100R01,25.868,6.39,0.264999986,13.7253201,100.5523886
0101100R01,25.873,6.385,0.319999993,13.7253652,100.5523866
0101100R01,25.878,6.38,0.355000019,13.7254099,100.5523847
0101100R01,25.883,6.375,0.360000014,13.7254548,100.5523827
0101100R01,25.888,6.37,0.319999993,13.7254995,100.5523811
0101100R01,25.893,6.365,0.340000004,13.7255441,100.5523798
0101100R01,25.898,6.36,0.349999994,13.7255887,100.5523784
0101100R01,25.903,6.355,0.349999994,13.7256333,100.552377
0101100R01,25.908,6.35,0.333333343,13.7256782,100.5523734
0101100R01,25.913,6.345,0.330000013,13.7257234,100.5523698
0101100R01,25.918,6.34,0.336666673,13.7257686,100.5523662
0101100R01,25.923,6.335,0.330000013,13.7258134,100.5523634
0101100R01,25.928,6.33,0.310000002,13.725858,100.5523617
0101100R01,25.933,6.325,0.349999994,13.7259029,100.55236
0101100R01,25.938,6.32,0.306666702,13.7259473,100.5523584
0101100R01,25.943,6.315,0.295000017,13.7259931,100.5523536
0101100R01,25.948,6.31,0.305000007,13.7260388,100.5523481
0101100R01,25.953,6.305,0.276666671,13.7260847,100.5523425
0101100R01,25.958,6.3,0.269999981,13.7261307,100.5523377
0101100R01,25.963,6.295,0.360000014,13.7261756,100.552336
0101100R01,25.968,6.29,0.25999999,13.7262209,100.5523343
0101100R01,25.973,6.285,0.24666667,13.7262661,100.5523327
0101100R01,25.978,6.28,0.264999986,13.7263109,100.5523297
0101100R01,25.983,6.275,0.289999992,13.726356,100.5523257
0101100R01,25.988,6.27,0.300000012,13.7264012,100.5523218
0101100R01,25.993,6.265,0.270000011,13.7264461,100.5523179
0101100R01,25.998,6.26,0.324999988,13.7264908,100.5523131
0101100R01,26.003,6.255,0.343333334,13.7265353,100.5523083
0101100R01,26.008,6.25,0.344999999,13.7265799,100.5523036
0101100R01,26.013,6.245,0.370000005,13.7266249,100.5522991
0101100R01,26.018,6.24,0.349999994,13.7266701,100.5522948
0101100R01,26.023,6.235,0.349999994,13.7267155,100.5522906
0101100R01,26.028,6.23,0.324999988,13.7267609,100.5522864
0101100R01,26.033,6.225,0.316666692,13.7268057,100.5522819
0101100R01,26.038,6.22,0.313333333,13.7268506,100.5522774
0101100R01,26.043,6.215,0.319999993,13.7268955,100.5522729
0101100R01,26.048,6.21,0.313333333,13.7269403,100.5522683
0101100R01,26.053,6.205,0.266666651,13.7269854,100.5522634
0101100R01,26.058,6.2,0.275000006,13.7270306,100.5522586
0101100R01,26.063,6.195,0.289999992,13.7270754,100.5522538
0101100R01,26.068,6.19,0.283333331,13.7271204,100.5522492
0101100R01,26.073,6.185,0.280000001,13.7271655,100.5522447
0101100R01,26.078,6.18,0.284999996,13.7272102,100.5522402
0101100R01,26.083,6.175,0.280000001,13.7272551,100.5522356
0101100R01,26.088,6.17,0.25999999,13.7273001,100.5522308
0101100R01,26.093,6.165,0.245000005,13.7273448,100.552226
0101100R01,26.098,6.16,0.270000011,13.7273897,100.5522212
0101100R01,26.103,6.155,0.289999992,13.7274345,100.5522164
0101100R01,26.108,6.15,0.280000001,13.7274796,100.5522116
0101100R01,26.113,6.145,0.280000001,13.7275247,100.5522068
0101100R01,26.118,6.14,0.293333322,13.7275695,100.5522019
0101100R01,26.123,6.135,0.305000007,13.7276144,100.5521968
0101100R01,26.128,6.13,0.310000002,13.7276593,100.5521917
0101100R01,26.133,6.125,0.316666663,13.727704,100.5521866
0101100R01,26.138,6.12,0.310000002,13.727749,100.5521813
0101100R01,26.143,6.115,0.314999998,13.7277942,100.5521758
0101100R01,26.148,6.11,0.316666663,13.7278394,100.5521704
0101100R01,26.153,6.105,0.310000002,13.7278846,100.5521649
0101100R01,26.158,6.1,0.305000007,13.7279292,100.5521595
0101100R01,26.163,6.095,0.310000002,13.7279737,100.552154
0101100R01,26.168,6.09,0.310000002,13.7280185,100.5521485
0101100R01,26.173,6.085,0.319999993,13.7280635,100.552143
0101100R01,26.178,6.08,0.313333333,13.7281089,100.5521374
0101100R01,26.183,6.075,0.313333333,13.7281541,100.5521318
0101100R01,26.188,6.07,0.300000012,13.7281992,100.5521263
0101100R01,26.193,6.065,0.295000017,13.7282441,100.5521207
0101100R01,26.198,6.06,0.316666663,13.7282892,100.5521151
0101100R01,26.203,6.055,0.310000002,13.7283341,100.5521096
0101100R01,26.208,6.05,0.290000021,13.7283789,100.5521041
0101100R01,26.213,6.045,0.303333312,13.728424,100.5520985
0101100R01,26.218,6.04,0.310000002,13.7284686,100.552093
0101100R01,26.223,6.035,0.335000008,13.7285136,100.5520877
0101100R01,26.228,6.03,0.340000004,13.7285587,100.5520828
0101100R01,26.233,6.025,0.330000013,13.7286034,100.5520779
0101100R01,26.238,6.02,0.335000008,13.7286485,100.5520729
0101100R01,26.243,6.015,0.326666683,13.7286932,100.5520675
0101100R01,26.248,6.01,0.330000013,13.7287383,100.552062
0101100R01,26.253,6.005,0.289999992,13.7287834,100.5520565
0101100R01,26.258,6,0.295000017,13.7288278,100.5520514
0101100R01,26.263,5.995,0.276666671,13.7288721,100.5520465
0101100R01,26.268,5.99,0.280000001,13.7289164,100.5520417
0101100R01,26.273,5.985,0.284999996,13.7289604,100.5520368
0101100R01,26.278,5.98,0.280000001,13.7290058,100.552031
0101100R01,26.283,5.975,0.284999996,13.729051,100.5520252
0101100R01,26.288,5.97,0.269999981,13.7290961,100.5520194
0101100R01,26.293,5.965,0.25999999,13.7291414,100.5520141
0101100R01,26.298,5.96,0.286666662,13.7291866,100.5520093
0101100R01,26.303,5.955,0.289999992,13.7292317,100.5520044
0101100R01,26.308,5.95,0.289999992,13.7292768,100.5519995
0101100R01,26.313,5.945,0.280000001,13.7293221,100.5519946
0101100R01,26.318,5.94,0.254999995,13.7293672,100.5519897
0101100R01,26.323,5.935,0.289999992,13.7294126,100.5519848
0101100R01,26.328,5.93,0.283333331,13.7294572,100.5519802
0101100R01,26.333,5.925,0.275000006,13.7295018,100.5519759
0101100R01,26.338,5.92,0.254999995,13.7295465,100.5519716
0101100R01,26.343,5.915,0.24666667,13.7295912,100.5519677
0101100R01,26.348,5.91,0.270000011,13.7296367,100.5519659
0101100R01,26.353,5.905,0.219999999,13.7296823,100.5519642
0101100R01,26.358,5.9,0.289999992,13.7297275,100.5519625
0101100R01,26.363,5.895,0.266666651,13.7297725,100.5519555
0101100R01,26.368,5.89,0.264999986,13.7298173,100.5519467
0101100R01,26.373,5.885,0.24333334,13.7298619,100.5519378
0101100R01,26.378,5.88,0.24333334,13.729907,100.5519311
0101100R01,26.383,5.875,0.215000004,13.7299524,100.5519284
0101100R01,26.388,5.87,0.230000004,13.7299977,100.5519258
0101100R01,26.393,5.865,0.316666692,13.7300434,100.5519231
0101100R01,26.398,5.86,0.379999995,13.7300882,100.5519181
0101100R01,26.403,5.855,0.375,13.7301333,100.5519131
0101100R01,26.408,5.85,0.373333335,13.7301785,100.551908
0101100R01,26.413,5.845,0.38499999,13.7302234,100.5519027
0101100R01,26.418,5.84,0.404999971,13.7302683,100.5518973
0101100R01,26.423,5.835,0.476666689,13.7303136,100.5518919
0101100R01,26.428,5.83,0.340000004,13.7303586,100.5518866
0101100R01,26.433,5.825,0.370000005,13.7304033,100.5518814
0101100R01,26.438,5.82,0.416666657,13.7304484,100.5518762
0101100R01,26.443,5.815,0.423333317,13.7304933,100.5518711
0101100R01,26.448,5.81,0.405000001,13.7305388,100.5518659
0101100R01,26.453,5.805,0.399999976,13.7305843,100.5518607
0101100R01,26.458,5.8,0.356666684,13.7306294,100.5518555
0101100R01,26.463,5.795,0.36500001,13.7306745,100.5518506
0101100R01,26.468,5.79,0.355000019,13.7307193,100.5518457
0101100R01,26.473,5.785,0.389999986,13.7307641,100.5518409
0101100R01,26.478,5.78,0.409999996,13.730809,100.5518361
0101100R01,26.483,5.775,0.400000006,13.7308534,100.5518313
0101100R01,26.488,5.77,0.416666657,13.730898,100.5518264
0101100R01,26.493,5.765,0.433333308,13.7309425,100.5518215
0101100R01,26.498,5.76,0.414999992,13.7309846,100.5518159
0101100R01,26.503,5.755,0.413333327,13.7310271,100.5518101
0101100R01,26.508,5.75,0.409999996,13.7310694,100.5518044
0101100R01,26.513,5.745,0.409999996,13.7311155,100.5518001
0101100R01,26.518,5.74,0.430000007,13.7311631,100.5517962
0101100R01,26.523,5.735,0.426666647,13.7312105,100.5517923
0101100R01,26.528,5.73,0.435000002,13.7312567,100.5517881
0101100R01,26.533,5.725,0.465000004,13.7313012,100.5517833
0101100R01,26.538,5.72,0.449999958,13.7313456,100.5517785
0101100R01,26.543,5.715,0.430000007,13.7313899,100.5517738
0101100R01,26.548,5.71,0.439999998,13.731435,100.5517687
0101100R01,26.553,5.705,0.423333317,13.73148,100.5517637
0101100R01,26.558,5.7,0.436666638,13.7315252,100.5517587
0101100R01,26.563,5.695,0.425000012,13.7315702,100.5517538
0101100R01,26.568,5.69,0.433333308,13.7316152,100.5517491
0101100R01,26.573,5.685,0.393333316,13.7316602,100.5517443
0101100R01,26.578,5.68,0.36500001,13.7317053,100.5517395
0101100R01,26.583,5.675,0.355000019,13.73175,100.5517345
0101100R01,26.588,5.67,0.403333336,13.7317948,100.5517295
